title,text,rating,rating_number,image_url,description,clean_text
Reign of the Supermen (BD),"The first part of the movie is like a click flick.  I like this second part better.  I am sure you have seen all the other Doomsday movies from before.  There is not much difference.  Doomsday shows up and beats up Superman.  The disc comes with many extra, and couple episodes from Superman The Animated Series.<br /><br />I don't like the animation or the character design.  Wonder Woman looks very bad to me.  The characters are drawn without any emotion.  I like the old-school animation better.<br /><br />This is not a bad buy.  5 stars.",4.7,1523.0,"{'thumb': 'https://m.media-amazon.com/images/I/51KsvOop3oL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51KsvOop3oL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/91b6vc1tnKL._SL1500_.jpg'}","['Reign of the Supermen (Blu-ray)', 'After Superman is put to rest, following his battle with Doomsday, his body is stolen from its tomb. As authorities investigate, new and completely different Supermen start appearing on the scene, making everyone wonder if Superman has been reincarnated, and if so, which of the new Supermen is the real Man-of-Steel?', ']]>']",the first part of the movie is like a click flick i like this second part better i am sure you have seen all the other doomsday movies from before there is not much difference doomsday shows up and beats up superman the disc comes with many extra and couple episodes from superman the animated seriesbr br i dont like the animation or the character design wonder woman looks very bad to me the characters are drawn without any emotion i like the oldschool animation betterbr br this is not a bad buy 5 stars
A Million Ways to Die in the West,Keep your kids away. It's to foul for me.,4.6,17407.0,"{'thumb': 'https://m.media-amazon.com/images/I/61GFmvfSqYL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/61GFmvfSqYL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/91AbPr7HpKL._SL1500_.jpg'}","['Seth MacFarlane directs, produces, co-writes and plays the role of the cowardly sheep farmer Albert in A Million Ways to Die in the West. After Albert backs out of a gunfight, his fickle girlfriend leaves him for another man. When a mysterious and beautiful woman rides into town, she helps him find his courage and they begin to fall in love. But when her husband, a notorious outlaw, arrives seeking revenge, the farmer must put his newfound courage to the test. Starring alongside MacFarlane are Oscar winner Charlize Theron, Liam Neeson, Amanda Seyfried, Giovanni Ribisi, Sarah Silverman and Neil Patrick Harris. MacFarlane reunites many of the filmmakers behind Universal and MRC’s hit film Ted including Scott Stuber (Bluegrass Films) and Jason Clark who produce, and Wellesley Wild and Alec Sulkin who co-wrote the script.']",keep your kids away its to foul for me
Rio Grande,What i ordered. Transfer great sound great .movie greater,4.7,261.0,"{'thumb': 'https://m.media-amazon.com/images/I/61qaleDZy6L._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/61qaleDZy6L.jpg', 'variant': 'MAIN', 'hi_res': None}","[""In the John Ford (THE QUIET MAN) classic, John Wayne and Maureen O'Hara (First of five films together) are embroiled in an epic battle with the Apaches and each other. Wayne leads his Cavalry troops to the Rio Grande to fight a warring tribe. His toughest battle lies ahead when his unorthodox plan to outwit the elusive Apaches leads to a possible court-martial. Locked in a bloody war, he must fight not only to save his family, but also to redeem his honor. This was the third and final of the John Wayne/John Ford Cavalry films, which started with Fort Apache and was followed by She Wore a Yellow Ribbon. The great supporting cast includes Ben Johnson, Harry Carey Jr.., Victor McLaglen and Chill Wills.""]",what i ordered transfer great sound great movie greater
SLINGS & ARROWS: THE COMPLETE COLLECTION,"Unbelievably good. I sift through so many made-for-television projects with so much promise, then compromise my expectations so that I can walk away with at least one good thing to say about them. Then something like this comes along and I am astonished. With Shakespeare for a backbone, amazingly good writers, a superb ensemble of actors, and an encyclopedic knowledge of the history of effective drama, they've produced a stunning three-year, six episodes per year project. The length is just. The story telling is excellent. And--a measure of truly good comedy--each of the two times I've wated the entire set from beginning to end (burried in weekend snowstorms in New England)--I've cried at the end of each year's production--and by God, I am not a weepy man. I bought this because I'm a complete slave to Shakespeare in any form, but that hook was quickly overwhelmed by the overall excellence of each episode. And I've been left wanting more. It's just so ingenius. The last time I was this happy with a TV series was with Northern Exposure, and it's American excellence hovers at least ten points (out of 100) below this Canadian masterpiece. 'Nuf said. (Well, maybe not. Let me say how refreshing it is to hear people deliver natural dialogue--the sort of professional and casual conversation I hear every day--passionately felt obscenities and train-wreck logic and all. This artificial dialogue that dominates American TV drama as a deep bow to the fantasies of the fundamentalists is nauseating--and its not fooling anyone.)",4.8,396.0,"{'thumb': 'https://m.media-amazon.com/images/I/51FyrCYvbJL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51FyrCYvbJL.jpg', 'variant': 'MAIN', 'hi_res': None}","['Product Description', 'As seen on the Sundance Channel', '""Deliciously written"" \x97', 'TV GUIDE', '""Big and powerful, a corker"" \x97', 'LOS ANGELES TIMES', '""Charming and complex and lovely"" \x97', 'THE NEW YORK TIMES', 'Showered with awards and critical acclaim, this darkly comic Canadian series follows the fortunes of a dysfunctional Shakespearean theatre troupe, exposing the high drama, scorching battles, and electrifying thrills that happen', 'behind', 'the scenes.', 'Paul Gross (', 'Due South', "") stars as Geoffrey Tennant, the passionate but unstable artistic director of the New Burbage Theatre Festival. Haunted by the ghost of his predecessor (Stephen Ouimette), he struggles to realize his creative vision while handling touchy actors, a jittery general manager (Mark McKinney), a pretentious guest director (Don McKellar) and his own tempestuous romance with the festival's leading lady (Martha Burns). The backstage bedlam mirrors the onstage angst as Geoffrey directs three of Shakespeare's masterpieces --"", 'Hamlet', ',', 'Macbeth', 'and', 'King Lear', '-- one in each season. Guest stars include Rachel McAdams (', 'Wedding Crashers', '), Colm Feore (', 'Chicago', '), Sarah Polley (', 'Go', ',', 'The Sweet Hereafter', '), and renowned Stratford Festival actor William Hutt in one of his last performances.', 'DVD SPECIAL FEATURES INCLUDE', 'cast interviews, bloopers, deleted and extended scenes, photo galleries, production notes, trailers and song lyrics.', 'Plus exclusive bonus disc:', '""A Look Behind the Scenes"" featurette, more cast and crew interviews, and on-set footage.', 'Review', '""A winner: funny, touching"" --', 'E! Online', '""Achieves perfect pitch with its mix of dark wit and drama"" --', 'The Washington Post', '""One of my all-time favorite television series. Filled with irreverent, hilarious dialogue and heart-felt performances"" --', 'TVGuide.com', '""Sophisticated and cutting yet sincere...A"" --', 'TIME Magazine', '4 of 5 stars. --', 'Fort Worth Star-Telegram, July 2007', 'An exceptionally well crafted, beautifully nuanced and wonderfully smart series. --', 'San Francisco Chronicle', 'Backstage masterpiece this one-in-a-million TV show. --', 'The Phoenix, July 2007', 'Charming and complex and lovely. --', 'The New York Times', 'EW Pick...A --', 'Entertainment Weekly', 'Funny, tragic and exhilarating, ""Slings"" memorably celebrates the nobility of human dreams and the intoxicating impact of live theater. --', 'Newsday, July 2007']",unbelievably good i sift through so many madefortelevision projects with so much promise then compromise my expectations so that i can walk away with at least one good thing to say about them then something like this comes along and i am astonished with shakespeare for a backbone amazingly good writers a superb ensemble of actors and an encyclopedic knowledge of the history of effective drama theyve produced a stunning threeyear six episodes per year project the length is just the story telling is excellent anda measure of truly good comedyeach of the two times ive wated the entire set from beginning to end burried in weekend snowstorms in new englandive cried at the end of each years productionand by god i am not a weepy man i bought this because im a complete slave to shakespeare in any form but that hook was quickly overwhelmed by the overall excellence of each episode and ive been left wanting more its just so ingenius the last time i was this happy with a tv series was with northern exposure and its american excellence hovers at least ten points out of 100 below this canadian masterpiece nuf said well maybe not let me say how refreshing it is to hear people deliver natural dialoguethe sort of professional and casual conversation i hear every daypassionately felt obscenities and trainwreck logic and all this artificial dialogue that dominates american tv drama as a deep bow to the fantasies of the fundamentalists is nauseatingand its not fooling anyone
Wonder Woman [Blu-ray],Arrived in excellent condition,4.6,48326.0,"{'thumb': 'https://m.media-amazon.com/images/I/51tbseihH0L._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51tbseihH0L.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/91Rtt7Zh7wL._SL1500_.jpg'}","['Wonder Woman', 'Before she was Wonder Woman, she was Diana, princess of the Amazons, trained to be an unconquerable warrior. Raised on a sheltered island paradise, when an American pilot crashes on their shores and tells of a massive conflict raging in the outside world, Diana leaves her home, convinced she can stop the threat. Fighting alongside man in a war to end all wars, Diana will discover her full powers…and her true destiny.']",arrived in excellent condition
Kings Row,Great movie  ......all that was promised.  Thanks....our former President in his younger days....very entertaining,4.6,349.0,"{'thumb': 'https://m.media-amazon.com/images/I/51z9bMHX9KL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51z9bMHX9KL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/81y2f31NPVL._SL1500_.jpg'}","['Product Description', ""It's a quaint turn-of-the-century small town of shady streets, swimming holes and the Sunday afternoon clip-clop of horse and buggy. But that peaceful exterior conceals human lives twisted by cruelty, murder and madness. Kings Row is one of Warner Bros.' most distinguished productions, highlighted by an outstanding cast, haunting James Wong Howe cinematography and a somber, emotion-laden Erich Wolfgang Korngold score. Ann Sheridan, Robert Cummings, Betty Field, Claude Rains and Charles Coburn give indelible performances ? and Ronald Reagan's portrayal of Drake, a cheerful ne'er-do-well shattered by tragedy, has been hailed as his career best. Nominated for 3 Academy Awards? including Best Picture,* Kings Row is a powerful American saga of dreams, despair and triumph."", 'Amazon.com', 'Kings Row', '(1942) is consensus pick for Ronald Reagan\'s finest screen hour. A big, juicy, and really quite weird melodrama, the film cruises through the creepier side of small-town life, with Reagan in a very appealing groove. He plays the more rascally of the two male leads (Robert Cummings is the sensitive hero), a breezy charmer whose talent with the ladies gets him in trouble. The most lurid twist in the movie leads to Reagan\'s line, ""Where\'s the rest of me?"", which became the title of his autobiography. An extremely entertaining movie, with director Sam Wood inestimably aided by James Wong Howe\'s lush cinematography and Erich Wolfgang Korngold\'s classic music score.', '--Robert Horton']",great movie all that was promised thanksour former president in his younger daysvery entertaining
Detective Dee and the Mystery of the Phantom Flame [Blu-ray],"I expected this movie would be like the Judge Dee novels but it was nothing like.  Well enough made and fun for its genre, but it lost stars for me by not being an adaptation of the Van Gulik novels.",4.5,441.0,"{'thumb': 'https://m.media-amazon.com/images/I/51XQjWGfkXL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51XQjWGfkXL.jpg', 'variant': 'MAIN', 'hi_res': None}","[""A bizarre murder mystery brings together the most powerful woman in China, the soon-to-be-Empress Wu Zetian and a formerly exiled detective, Dee Renjie at the infamous Imperial Palace. Hoping he will solve the crime before her coronation, Wu appoints Dee Chief Judge of the Empire and implores him to combine his indisputable wisdom with his unparalleled martial arts skills to save the future of her dynasty. Director Tsui Hark (Seven Swords) teams with stunt director Sammo Hung in this heart-pounding, epic thriller inspired by the incredible true story of one of the Tang Dynasty's most celebrated officials.""]",i expected this movie would be like the judge dee novels but it was nothing like well enough made and fun for its genre but it lost stars for me by not being an adaptation of the van gulik novels
Gremlins (Special Edition),"I saw this movie when it was in the theaters, but I had not remembered just how funny it was until I got the DVD. I was laughing so hard at the bar-room scene I couldn't catch my breath!<br /><br />A rather incompetent inventor goes into a curiosity shop in Chinatown looking for a Christmas gift for his teenage son. He comes across an odd little creature, as adorable as a teddy bear, called a Mogwai. He wants to buy it, but the old man who runs the shop says it's not for sale. The old man's grandson, however, says they need the money, and he brings it out to sell in the alley. Along with the Mogwai comes three rules for taking care of him: (1) he does not like bright lights; (2) don't get him wet, and (3) most important, never, ever feed him after midnight.<br /><br />Of course, all three rules are eventually broken, and the results are scaly green gremlins that run riot all over town. As I say, the bar-room scene is quite hilarious. A large group of them are cornered in the movie theater (where some more great visual jokes are done), but Stripe, the leader of the gang, gets into the department store across the street.<br /><br />The cute little Mogwai, named Gizmo, eventually triumphs, but how he does is the funniest movie you'll see in many a year.",4.7,20297.0,"{'thumb': 'https://m.media-amazon.com/images/I/41+YjoHwEWL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/41+YjoHwEWL.jpg', 'variant': 'MAIN', 'hi_res': None}","['Gremlins: Special Edition (DVD)', ']]>']",i saw this movie when it was in the theaters but i had not remembered just how funny it was until i got the dvd i was laughing so hard at the barroom scene i couldnt catch my breathbr br a rather incompetent inventor goes into a curiosity shop in chinatown looking for a christmas gift for his teenage son he comes across an odd little creature as adorable as a teddy bear called a mogwai he wants to buy it but the old man who runs the shop says its not for sale the old mans grandson however says they need the money and he brings it out to sell in the alley along with the mogwai comes three rules for taking care of him 1 he does not like bright lights 2 dont get him wet and 3 most important never ever feed him after midnightbr br of course all three rules are eventually broken and the results are scaly green gremlins that run riot all over town as i say the barroom scene is quite hilarious a large group of them are cornered in the movie theater where some more great visual jokes are done but stripe the leader of the gang gets into the department store across the streetbr br the cute little mogwai named gizmo eventually triumphs but how he does is the funniest movie youll see in many a year
Silent Night,I read about this movie and interpreted the info wrong.  While thinking this was a grade B horror film I watched a slow simmer drama/comedy/horror film casually unroll into a film I don't normally watch.  And I Loved it!  The cast was great; a dark comedy that shines in it's final moments.  I then watched it again.,3.8,1378.0,"{'thumb': 'https://m.media-amazon.com/images/I/51UZa2CQrRL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51UZa2CQrRL.jpg', 'variant': 'MAIN', 'hi_res': None}","['While Nell and Simon (Keira Knightley, Matthew Goode) prepared a holiday dinner party for their circle at their palatial home, this year would be unlike any that came before-as the Earth was facing inexorable environmental disaster, and the government had issued suicide pills to all who wished a peaceful way out. Revelations will be gifted in this darkly comic ensemble piece co-starring Roman Griffin Davis, Lily-Rose Depp, Lucy Punch, Sope Dirisu, Annabelle Wallis, Kirby Howell-Baptiste. 92 min. Widescreen; Soundtrack: English.']",i read about this movie and interpreted the info wrong while thinking this was a grade b horror film i watched a slow simmer dramacomedyhorror film casually unroll into a film i dont normally watch and i loved it the cast was great a dark comedy that shines in its final moments i then watched it again
Betty Blue (The Criterion Collection) [Blu-ray],"I,liked this item.",4.7,147.0,"{'thumb': 'https://m.media-amazon.com/images/I/41v6U8FXK-L._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/41v6U8FXK-L.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71RVSkYoy-L._SL1500_.jpg'}","['When the easygoing would-be novelist Zorg (Jean-Hugues Anglade) meets the tempestuous Betty (Béatrice Dalle in a magnetic breakout performance) in a sunbaked French beach town, it’s the beginning of a whirlwind love affair that sees the pair turn their backs on conventional society in favor of the hedonistic pursuit of freedom, adventure, and carnal pleasure. But as the increasingly erratic Betty’s grip on reality begins to falter, Zorg finds himself willing to do things he never expected to protect both her fragile sanity and their tenuous existence. Adapted from the hit novel 37°2 le matin by Philippe Djian, Jean-Jacques Beineix’s art-house smash—presented here in its extended director’s cut—is a sexy, crazy, careening joyride of a romance that burns with the passion and beyond-all-reason fervor of all-consuming love. DIRECTOR-APPROVED BLU-RAY SPECIAL EDITION FEATURES • High-definition digital restoration, approved by director Jean-Jacques Beineix, with uncompressed monaural soundtrack • Blue Notes and Bungalows, a sixty-minute documentary from 2013 featuring Beineix, actors Jean-Hugues Anglade and Béatrice Dalle, associate producer Claudie Ossard, cinematographer Jean-François Robin, and composer Gabriel Yared • Making of “Betty Blue,” a short video featuring Beineix and author Philippe Djian • Le chien de Monsieur Michel, a short film by Beineix from 1977 • French television interview from 1986 with Beineix and Dalle • Dalle screen test • Trailers • New English subtitle translation • PLUS: An essay by critic Chelsea Phillips-Carr']",iliked this item
The Wall [DVD],I saw this movie when it first came out in 1981 or so and it tore my heart out.  It still did.  Very tough times and very tough decisions to be made by those involved. Based on fact.,4.6,20.0,"{'thumb': 'https://m.media-amazon.com/images/I/51g6GajocnL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51g6GajocnL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/91j89DvnKSL._SL1500_.jpg'}","['Wall, The (DVD)']",i saw this movie when it first came out in 1981 or so and it tore my heart out it still did very tough times and very tough decisions to be made by those involved based on fact
Clown Panic!,Closeups of a bunch a wild and crazy guys.  Not scary except for what was going on in parallel with clown panics.  The cover illustration does not really fit the reality of the silly guys.,4.7,4.0,"{'thumb': 'https://m.media-amazon.com/images/I/513HmydISlL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/513HmydISlL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/91g9yOUVtUL._SL1500_.jpg'}","['A worldwide Clown Panic occurred in 2016 with Killer Clowns terrorizing innocent members of the public. Clown costumes were soon banned leaving many individuals who live their lives 24/7 as Clowns known as Clownarchists depressed and distraught. This shocking documentary forces us to look at the psyche of the human race grappling with a world on the brink. Coulrophobia aka The Fear of Clowns is a very real disease but what compels a person to be addicted to clown attire, some causing grief or harm to others, some wanting nothing more than to share their interests and be accepted? The Clown Panic phenomenon reveals a chink in the armor of the highly advanced and civilized ideal that sometimes fails to accept certain realities that occur in our everyday lives.']",closeups of a bunch a wild and crazy guys not scary except for what was going on in parallel with clown panics the cover illustration does not really fit the reality of the silly guys
A Quiet Place,A gift.,4.6,66741.0,"{'thumb': 'https://m.media-amazon.com/images/I/51e2dplvUUL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51e2dplvUUL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/A1zV1fxtMEL._SL1500_.jpg'}","['If they hear you, they hunt you. In this terrifyingly suspenseful thriller, a family must navigate their lives in silence to avoid mysterious creatures that hunt by sound. Knowing that even the slightest whisper or footstep can bring death, Evelyn (Emily Blunt) and Lee (John Krasinski) Abbott are determined to find a way to protect their children at all costs while they desperately search for a way to fight back. Hailed by critics and audiences around the world, experience the must-see movie of the year.']",a gift
Midsomer Murders Tainted Fruit,Good series and Troy is maturing.,4.8,11.0,"{'thumb': 'https://m.media-amazon.com/images/I/51N-uUFndJL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51N-uUFndJL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/81fFgPZh7EL._SL1500_.jpg'}",[],good series and troy is maturing
Fan Favorites: The Best Of Hogan's Heroes,loved it,4.4,82.0,"{'thumb': 'https://m.media-amazon.com/images/I/51NNOhEANDL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51NNOhEANDL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/91f1TqQXGML._SL1500_.jpg'}","[""The fans have spoken! Here come eight great Hogan's Heroes episodes, selected by fans in a Facebook poll.""]",loved it
Get Out [Blu-ray],"very good product, satisfaction assured ...",4.6,53574.0,"{'thumb': 'https://m.media-amazon.com/images/I/51eW3ZFACbL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51eW3ZFACbL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/81Xxyk2yuNL._SL1500_.jpg'}","[""When Chris (Daniel Kaluuya), a young African-American man, visits his white girlfriend's (Allison Williams) family estate, he becomes ensnared in the more sinister, real reason for the invitation. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he could have never imagined. This speculative thriller from Blumhouse (producers of The Visit, Insidious series and The Gift) and the mind of Jordan Peele (Key & Peele) is equal parts gripping thriller and provocative commentary.""]",very good product satisfaction assured
Peep Show: Series 1-5 [DVD],"I LOVE Peep Show -- it's one of the all-time best and most insightful comedy series. But please be aware these are REGION 2 DVDs, meaning they won't work in North American (Region 1) DVD players. I bought this set brand new from the main product page, and my order was fulfilled by Amazon Prime -- I didn't buy from a one-off seller in the ""New and Used"" offerings section. I looked over the description page and pictures VERY CAREFULLY, several times, and ordered from the main product page.... jokes on me. If these DVD don't work on American DVD players, it should clearly state that. But it doesn't.<br /><br />More upsetting, the seller KNOWS people are ording these DVDs mistakenly and still doesn't state the region in the description, which would be very easy to do but would cut down on people accidentally buying this and presumably hurt their sales. The seller is ovbiously aware it's a problem, because the DVD set comes with a huge sticker on it which reads (verbatim, grammatical/punctuation mistakes and all):<br /><br />""PLEASE READ BEFORE YOU OPEN IT!<br />Before you'll open this item we remind you that this DVD you ordered has Region 2 code. It requires 'Region B/2' or 'Region FREE' player or PC with special software. This DVD will NOT work on a regular USA (Region A/1) player.<br /><br />""THIS IS THE EXACT DVD YOU'VE ORDERED..<br />If you made a mistake or didn't pay attention to the region information on this disk please DO NOT OPEN IT , request a return and choose option 'Bought by mistake'.""<br /><br />Bull hooey. That's information which should be IN THE PRODUCT DESCRIPTION, not on the product itself after unwitting buyers have already paid for it. And I didn't ""buy this by mistake"", the region info wasn't in the product description. Frustrating. Obviously they think buyers should know the region info since they put it on the product, but to not put it in the description is hugely misleading. The region information simply isn't on the product page anywhere at the time of writing this review, I checked over and over again before buying, and again before writing this review. I'm returning the DVDs with it marked as an ""INACCURATE DESCRIPTION"", which is the truth. I hope others who fall for the seller's shennanigangs do the same. Shame on the seller, and shame on Amazon for allowing it.<br /><br />I love Peep Show, it's one of my all-time favorite shows and it's 100% worth watching... which is why I wanted it on DVD. So to be clear this review isn't about the show itself (which is excellent), but is a warning to any North American (or non-Region 2 DVD player owners) considering buying this item. If you have a Region 2 or Region Free player, this show is 120% worth watching.",4.4,155.0,"{'thumb': 'https://m.media-amazon.com/images/I/51-gtr7vj5L._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51-gtr7vj5L.jpg', 'variant': 'MAIN', 'hi_res': None}","['All 30 episodes from Series 1-5 of the Channel 4 cult comedy series, chronicling the private - and totally dysfunctional - inner thoughts of two 20-something flatmates living in Croydon. Mark (David Mitchell) is the sensible one, a working professional with a slightly disconcerting interest in WWII, while Jeremy (Robert Webb) is a lazy waster with half-arsed dreams of becoming a musician but who can never get his act together.']",i love peep show its one of the alltime best and most insightful comedy series but please be aware these are region 2 dvds meaning they wont work in north american region 1 dvd players i bought this set brand new from the main product page and my order was fulfilled by amazon prime i didnt buy from a oneoff seller in the new and used offerings section i looked over the description page and pictures very carefully several times and ordered from the main product page jokes on me if these dvd dont work on american dvd players it should clearly state that but it doesntbr br more upsetting the seller knows people are ording these dvds mistakenly and still doesnt state the region in the description which would be very easy to do but would cut down on people accidentally buying this and presumably hurt their sales the seller is ovbiously aware its a problem because the dvd set comes with a huge sticker on it which reads verbatim grammaticalpunctuation mistakes and allbr br please read before you open itbr before youll open this item we remind you that this dvd you ordered has region 2 code it requires region b2 or region free player or pc with special software this dvd will not work on a regular usa region a1 playerbr br this is the exact dvd youve orderedbr if you made a mistake or didnt pay attention to the region information on this disk please do not open it request a return and choose option bought by mistakebr br bull hooey thats information which should be in the product description not on the product itself after unwitting buyers have already paid for it and i didnt buy this by mistake the region info wasnt in the product description frustrating obviously they think buyers should know the region info since they put it on the product but to not put it in the description is hugely misleading the region information simply isnt on the product page anywhere at the time of writing this review i checked over and over again before buying and again before writing this review im returning the dvds with it marked as an inaccurate description which is the truth i hope others who fall for the sellers shennanigangs do the same shame on the seller and shame on amazon for allowing itbr br i love peep show its one of my alltime favorite shows and its 100 worth watching which is why i wanted it on dvd so to be clear this review isnt about the show itself which is excellent but is a warning to any north american or nonregion 2 dvd player owners considering buying this item if you have a region 2 or region free player this show is 120 worth watching
Boston: Guitar Play-Along DVD Volume 31,Gives you different ways to view based on what suits you. I really like it and I'm glad I purchased it.,4.3,59.0,"{'thumb': 'https://m.media-amazon.com/images/I/51gxPW+8tnL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51gxPW+8tnL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/81+xyEImNsL._SL1500_.jpg'}","[""The Guitar Play Along DVD series let's you hear and see how to play songs like never before. Just watch, listen and learn! Each song starts with a lesson from a professional guitar teacher. Then, the teacher performs the complete song along with professionally recorded backing tracks. You can choose to turn the guitar off if you want to play along or leave the guitar in the mix to hear how it should sound. You can also choose from multiple viewing options; fret hand with tab, wide view with tab, pick & fret hand close-up, and others.""]",gives you different ways to view based on what suits you i really like it and im glad i purchased it
The Last Samurai (Two-Disc Special Edition),"Just a really well done movie. This has it all: an epic scale, a love story, outstanding soundtrack, and fight scenes. Plain greatness.",4.8,10168.0,"{'thumb': 'https://m.media-amazon.com/images/I/51rloiB+EmL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51rloiB+EmL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/91WRV8R2RfL._SL1500_.jpg'}","['Product Description', ""Epic Action Drama. Set in Japan during the 1870s, The Last Samurai tells the story of Capt. Nathan Algren (Tom Cruise), a respected American military officer hired by the Emperor of Japan to train the country's first army in the art of modern warfare. As the Emperor attempts to eradicate the ancient Imperial Samurai warriors in preparation for more Westernized and trade-friendly government policies, Algren finds himself unexpectedly impressed and influenced by his encounters with the Samurai, which places him at the center of a struggle between two eras and two worlds, with only his own sense of honor to guide him."", 'Set Contains:', 'No actor works harder to open a movie than Tom Cruise. His enthusiasm is throughout the DVD extras as he mirrors his samurai character by constantly talking about ""loyalty"" and ""discipline"" while working on the film. However as a post-movie experience, the top-line extras with Cruise and director Edward Zwick are repetitive and underwhelming, with too many clips from the film we assume DVD viewers have just seen. The History Channel show is also a pre-release promotional device that misses an opportunity to really dig into this intriguing time period. Better are segments on the costumes, the production design, and how you put together an Imperial army--in New Zealand, no less. Zwick\'s low-key and dense commentary (plus a ""Video Journal"") is not vital, but he illustrates many of the little peculiarities it took to make the wide-ranging film come together. There are two deleted scenes; a samurai\'s first appearance is particularly memorable.', '--Doug Thomas']",just a really well done movie this has it all an epic scale a love story outstanding soundtrack and fight scenes plain greatness
DESPICABLE ME MINION MAD DVD,games on it are cute and easily playable,4.5,2307.0,"{'thumb': 'https://m.media-amazon.com/images/I/51zFERoVQ8L._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51zFERoVQ8L.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/914+PQNnSgL._SL1500_.jpg'}","[""3 New Mini-Movies starring the minions created exclusively for DVD! Orientation Day: It's new minion Orientation Day! See what happens when Gru's newest workers start their training.Home Makeover: While Gru's away, Margo, Edith, and Agnes recruit the minions to make their home family-friendly.Banana: A lunchtime argument over a tasty treat turns into a minion free-for-all!"", 'Bonus Content:', 'Super Silly Fun Land', 'Super Silly Fun Land', ']]>']",games on it are cute and easily playable
